# ASCII file created 2001/8/19 (16:50:52)  

[ Rich Calibrater Parameters Setup ]

Sector  Row     Column
6       96      96

[ Rich Calibrater Parameters: Sector 0 ]

Row	Column	Slope	Offset	Sigma	
38	26	1	31.2885	0.920128	
39	26	1	50.1483	1.11185	
40	26	1	34.2702	1.01035	
41	26	1	57.0563	0.911848	
42	26	1	54.9101	0.864349	
43	26	1	48.9515	0.843945	
44	26	1	53.4075	0.86865	
45	26	1	52.5266	0.84234	
46	26	1	63.6511	0.8373	
47	26	1	55.8784	0.836276	
48	26	1	57.3515	0.883066	
49	26	1	65.8788	0.819865	
50	26	1	60.3208	0.847206	
51	26	1	41.3608	0.875847	
52	26	1	51.9476	0.827206	
53	26	1	60.071	0.850862	
54	26	1	52.5441	0.84944	
55	26	1	60.0632	0.849296	
56	26	1	47.4868	0.847784	
57	26	1	34.8355	0.839551	
58	26	1	57.2401	0.823647	
59	26	1	62.6899	0.869365	
60	26	1	80.4468	0.880212	
61	26	1	65.2218	0.863831	
62	26	1	57.9066	0.823135	
63	26	1	47.2715	0.858877	
64	26	1	51.3381	0.888609	
65	26	1	88.1323	0.839013	
66	26	1	60.9585	0.874479	
67	26	1	49.3306	0.84552	
68	26	1	58.1194	0.880347	
69	26	1	52.834	0.884861	
70	26	1	66.6139	0.891189	
71	26	1	67.3436	0.886303	
72	26	1	59.4245	0.890159	
73	26	1	41.2438	0.898131	
74	26	1	41.2332	0.885687	
75	26	1	66.3493	0.891046	
76	26	1	53.6484	0.862001	
77	26	1	44.6746	0.862895	
78	26	1	40.166	0.911385	
79	26	1	58.3063	0.905703	
80	26	1	59.9202	0.906114	
81	26	1	55.3229	0.889257	
82	26	1	64.0645	0.935851	
83	26	1	41.2194	0.920947	
84	26	1	63.8017	0.845701	
85	26	1	56.9243	0.857086	
86	26	1	61.1688	0.956373	
27	27	1	51.9393	1.23786	
28	27	1	64.2318	1.10337	
29	27	1	58.1907	1.05889	
30	27	1	70.127	0.948536	
31	27	1	58.2429	1.03204	
32	27	1	62.212	1.06509	
33	27	1	52.5924	1.03615	
34	27	1	70.5636	0.94153	
35	27	1	57.6561	0.872592	
36	27	1	57.1591	0.872854	
37	27	1	47.5595	0.882629	
38	27	1	35.7196	0.859453	
39	27	1	50.4094	0.866344	
40	27	1	46.6729	0.880449	
41	27	1	39.7318	0.873609	
42	27	1	57.7731	0.855013	
43	27	1	33.7742	0.860963	
44	27	1	1.3888	0.692201	
45	27	1	36.5396	0.884496	
46	27	1	38.9273	0.927839	
47	27	1	51.7164	0.931464	
48	27	1	52.8318	0.925788	
49	27	1	60.0744	0.889674	
50	27	1	69.9901	0.880469	
51	27	1	38.271	0.905294	
52	27	1	68.3577	0.862504	
53	27	1	51.3593	0.898009	
54	27	1	57.45	0.848726	
55	27	1	68.3743	0.881565	
56	27	1	57.9749	0.836386	
57	27	1	67.7741	0.907423	
58	27	1	31.2479	0.85961	
59	27	1	48.5275	0.884435	
60	27	1	63.7606	0.854665	
61	27	1	56.3467	0.807062	
62	27	1	60.8651	0.824557	
63	27	1	65.4643	0.874798	
64	27	1	50.8846	0.86607	
65	27	1	73.8253	0.871362	
66	27	1	71.2635	0.842722	
67	27	1	59.1795	0.905894	
68	27	1	55.3574	0.910918	
69	27	1	65.6342	0.899963	
70	27	1	57.639	0.872386	
71	27	1	33.7592	0.846092	
72	27	1	52.4398	0.854532	
73	27	1	33.4621	0.933373	
74	27	1	42.074	0.837525	
75	27	1	37.0889	0.910954	
76	27	1	55.6737	0.911642	
77	27	1	48.2971	0.880708	
78	27	1	47.6596	0.980799	
79	27	1	42.7761	0.884402	
80	27	1	60.7472	0.907205	
81	27	1	72.0969	1.04015	
82	27	1	51.0644	0.951302	
83	27	1	67.4879	0.888588	
84	27	1	61.8387	0.910733	
85	27	1	50.3616	0.904696	
86	27	1	50.2052	0.907296	
25	28	1	40.2313	0.94943	
26	28	1	47.5705	1.12072	
27	28	1	49.6962	1.02215	
28	28	1	54.0205	1.05649	
29	28	1	65.598	0.964025	
30	28	1	62.4423	0.905313	
31	28	1	57.3124	0.990704	
32	28	1	71.9079	1.05846	
33	28	1	1.73158	1.18926	
34	28	1	4.82547	0.920276	
35	28	1	1.5	0.707107	
36	28	1	61.8088	0.914213	
37	28	1	61.7375	0.857587	
38	28	1	32.302	0.925161	
39	28	1	39.754	0.960515	
40	28	1	53.0195	0.91294	
41	28	1	69.8462	0.831853	
