# ASCII file created 2001/8/2 (19:45:48)  


[ Rich Mapping Parameters Setup ]

MaxPads MaxRows MaxCols MaxRCs MaxPorts MaxModules MaxChannels UnconnCh 
4712	96	96	2	8	5	64	88	

[ Rich Mapping Parameters ]

Col	Row	RC	Port	Module	Channel	
63	29	0	2	4	11	
64	29	0	2	4	12	
65	29	0	2	4	13	
66	29	0	2	4	14	
67	29	0	2	4	15	
68	29	0	2	4	16	
69	29	0	2	4	17	
60	30	0	2	4	18	
60	29	0	2	4	19	
70	31	0	2	4	20	
69	31	0	2	4	21	
68	31	0	2	4	22	
67	31	0	2	4	23	
66	31	0	2	4	24	
65	31	0	2	4	25	
64	31	0	2	4	26	
63	31	0	2	4	27	
60	31	0	2	4	28	
59	29	0	2	4	29	
59	30	0	2	4	30	
59	31	0	2	4	31	
61	31	0	2	4	32	
62	31	0	2	4	33	
70	32	0	2	4	34	
69	32	0	2	4	35	
68	32	0	2	4	36	
67	32	0	2	4	37	
58	31	0	2	4	38	
58	32	0	2	4	39	
58	30	0	2	4	40	
58	29	0	2	4	41	
59	32	0	2	4	42	
60	32	0	2	4	43	
61	32	0	2	4	44	
62	32	0	2	4	45	
63	32	0	2	4	46	
64	32	0	2	4	47	
65	32	0	2	4	48	
66	32	0	2	4	49	
57	32	0	2	4	50	
57	30	0	2	4	51	
57	31	0	2	4	52	
57	29	0	2	4	53	
56	32	0	2	4	54	
57	28	0	2	4	55	
56	31	0	2	4	56	
56	28	0	2	4	57	
56	30	0	2	4	58	
56	29	0	2	4	59	
55	32	0	2	4	60	
55	31	0	2	4	61	
55	30	0	2	4	62	
55	29	0	2	4	63	
28	43	0	3	0	0	
27	43	0	3	0	1	
27	42	0	3	0	2	
27	41	0	3	0	3	
21	40	0	3	0	4	
22	40	0	3	0	5	
28	42	0	3	0	6	
23	40	0	3	0	7	
24	40	0	3	0	8	
25	40	0	3	0	9	
26	40	0	3	0	10	
21	39	0	3	0	11	
22	39	0	3	0	12	
23	39	0	3	0	13	
27	40	0	3	0	14	
29	42	0	3	0	15	
24	39	0	3	0	16	
25	39	0	3	0	18	
29	41	0	3	0	19	
28	41	0	3	0	20	
26	39	0	3	0	21	
27	39	0	3	0	22	
30	41	0	3	0	23	
28	40	0	3	0	24	
29	40	0	3	0	25	
22	38	0	3	0	26	
23	38	0	3	0	27	
24	38	0	3	0	28	
25	38	0	3	0	29	
22	37	0	3	0	30	
30	40	0	3	0	31	
23	37	0	3	0	32	
29	39	0	3	0	33	
24	37	0	3	0	34	
26	38	0	3	0	35	
28	39	0	3	0	36	
27	38	0	3	0	37	
23	36	0	3	0	38	
24	36	0	3	0	39	
25	37	0	3	0	40	
23	35	0	3	0	41	
24	35	0	3	0	42	
25	36	0	3	0	43	
25	35	0	3	0	44	
29	38	0	3	0	45	
28	38	0	3	0	46	
24	34	0	3	0	47	
24	33	0	3	0	48	
26	37	0	3	0	49	
27	37	0	3	0	50	
